l_Specific Ventilation (mL/mL)_75%_75%,0.112014,0.28165450000000003,0.380814,0.4784395,0.749697,1.2245249999999999
l_Specific Ventilation (mL/mL)_75%_max,0.112014,0.28165450000000003,0.380814,0.4784395,0.749697,1.2245249999999999
l_Specific Ventilation (mL/mL)_max_count,1.0,1.0,1.0,1.0,1.0,1.0
l_Specific Ventilation (mL/mL)_max_mean,0.139764,0.30054,0.404429,0.568343,0.89063,1.74356
l_Specific Ventilation (mL/mL)_max_min,0.139764,0.30054,0.404429,0.568343,0.89063,1.74356
l_Specific Ventilation (mL/mL)_max_25%,0.139764,0.30054,0.404429,0.568343,0.89063,1.74356
l_Specific Ventilation (mL/mL)_max_50%,0.139764,0.30054,0.404429,0.568343,0.89063,1.74356
l_Specific Ventilation (mL/mL)_max_75%,0.139764,0.30054,0.404429,0.568343,0.89063,1.74356
l_Specific Ventilation (mL/mL)_max_max,0.139764,0.30054,0.404429,0.568343,0.89063,1.74356
l_x (mm)_count_count,1.0,1.0,1.0,1.0,1.0,1.0
l_x (mm)_count_mean,195.0,1031.0,1749.0,1076.0,265.0,55.0
l_x (mm)_count_min,195.0,1031.0,1749.0,1076.0,265.0,55.0
l_x (mm)_count_25%,195.0,1031.0,1749.0,1076.0,265.0,55.0
l_x (mm)_count_50%,195.0,1031.0,1749.0,1076.0,265.0,55.0
l_x (mm)_count_75%,195.0,1031.0,1749.0,1076.0,265.0,55.0
l_x (mm)_count_max,195.0,1031.0,1749.0,1076.0,265.0,55.0
l_x (mm)_mean_count,1.0,1.0,1.0,1.0,1.0,1.0
l_x (mm)_mean_mean,0.9626313589743589,0.6823326372453928,0.8898632995997713,0.032215648698884713,0.008606788679245235,0.4987374727272727
l_x (mm)_mean_min,0.9626313589743589,0.6823326372453928,0.8898632995997713,0.032215648698884713,0.008606788679245235,0.4987374727272727
l_x (mm)_mean_25%,0.9626313589743589,0.6823326372453928,0.8898632995997713,0.032215648698884713,0.008606788679245235,0.4987374727272727
l_x (mm)_mean_50%,0.9626313589743589,0.6823326372453928,0.8898632995997713,0.032215648698884713,0.008606788679245235,0.4987374727272727
l_x (mm)_mean_75%,0.9626313589743589,0.6823326372453928,0.8898632995997713,0.032215648698884713,0.008606788679245235,0.4987374727272727
l_x (mm)_mean_max,0.9626313589743589,0.6823326372453928,0.8898632995997713,0.032215648698884713,0.008606788679245235,0.4987374727272727
l_x (mm)_std_count,1.0,1.0,1.0,1.0,1.0,1.0
l_x (mm)_std_mean,3.7401765384164847,3.2761474365008323,3.537619917112475,4.232617419999806,4.083782862813473,2.373192757683052
l_x (mm)_std_min,3.7401765384164847,3.2761474365008323,3.537619917112475,4.232617419999806,4.083782862813473,2.373192757683052
